ngày,đóng_cửa,thay_đổi,phần_trăm,Mở_cửa,Cao_nhất,Thấp_nhất,Tổng_KLGD,Tổng_GTGD
2023-12-29,43400.0,0.7,1.61,42700.0,43400.0,42300.0,88210.0,3828314000.0
2023-12-28,42700.0,-0.3,-0.7,43000.0,43150.0,42700.0,109950.0,4694865000.0
2023-12-27,43000.0,0.0,0.0,43000.0,43200.0,42800.0,93890.0,4037270000.0
2023-12-26,43000.0,-0.2,-0.47,43200.0,43550.0,42700.0,116380.0,5004340000.0
2023-12-25,43200.0,0.75,1.74,42450.0,43300.0,42000.0,117340.0,5069088000.0
2023-12-22,42450.0,0.65,1.53,41800.0,42450.0,41400.0,118910.0,5047729500.0
2023-12-21,41800.0,0.5,1.2,41300.0,41900.0,40900.0,113690.0,4752242000.0
2023-12-20,41300.0,0.1,0.24,41200.0,42000.0,40800.0,102490.0,4232837000.0
2023-12-19,41200.0,0.2,0.49,41000.0,41500.0,40550.0,82330.0,3391996000.0
2023-12-18,41000.0,-0.5,-1.22,41500.0,41500.0,40500.0,67840.0,2781440000.0
2023-12-15,41500.0,-0.1,-0.24,41600.0,41700.0,41250.0,56200.0,2332300000.0
2023-12-14,41600.0,-0.3,-0.72,41900.0,41800.0,41300.0,77980.0,3243968000.0
2023-12-13,41600.0,-0.3,-0.72,41900.0,0.0,0.0,79340.0,3300544000.0
2023-12-12,41900.0,0.5,1.19,41400.0,42050.0,41200.0,95650.0,4007735000.0
2023-12-11,41400.0,-0.5,-1.21,41900.0,42200.0,41350.0,158940.0,6580116000.0
2023-12-08,41900.0,1.3,3.1,40600.0,42000.0,40600.0,240640.0,10082816000.0
2023-12-07,40600.0,0.6,1.48,40000.0,41000.0,40000.0,195500.0,7937300000.0
2023-12-06,40000.0,0.35,0.88,39650.0,40400.0,39400.0,115710.0,4628400000.0
2023-12-05,39650.0,-0.15,-0.38,39800.0,39900.0,39400.0,65440.0,2594696000.0
2023-12-04,39800.0,0.4,1.01,39400.0,39800.0,39350.0,71190.0,2833362000.0
2023-12-02,39400.0,0.1,0.25,39300.0,39500.0,38800.0,76110.0,2998734000.0
2023-12-01,39400.0,0.1,0.25,39300.0,39500.0,38800.0,76110.0,2998734000.0
2023-11-30,38850.0,-0.45,-1.16,39300.0,39500.0,38800.0,72630.0,2821675500.0
2023-11-29,39300.0,0.45,1.15,38850.0,39300.0,38900.0,81180.0,3190374000.0
2023-11-28,38850.0,0.65,1.67,38200.0,39000.0,38200.0,83390.0,3239701500.0
2023-11-27,43000.0,-0.65,-1.51,43650.0,43650.0,42800.0,74760.0,3214680000.0
2023-11-24,43650.0,0.65,1.49,43000.0,43650.0,42400.0,81100.0,3540015000.0
2023-11-23,43000.0,-0.6,-1.4,43600.0,44000.0,43000.0,75530.0,3247790000.0
2023-11-22,43600.0,-0.35,-0.8,43950.0,44000.0,43400.0,73810.0,3218116000.0
2023-11-21,43950.0,0.8,1.82,43150.0,43950.0,43000.0,82420.0,3622359000.0
2023-11-20,43150.0,0.25,0.58,42900.0,43850.0,42000.0,80980.0,3494287000.0
2023-11-17,42900.0,-0.85,-1.98,43750.0,44000.0,42550.0,120970.0,5189613000.0
2023-11-16,43750.0,-0.4,-0.91,44150.0,44400.0,43450.0,97030.0,4245062500.0
2023-11-15,44150.0,1.15,2.6,43000.0,44150.0,43200.0,144920.0,6398218000.0
2023-11-14,43000.0,0.9,2.09,42100.0,43450.0,42250.0,157160.0,6757880000.0
2023-11-13,42100.0,-0.1,-0.24,42200.0,42700.0,41950.0,47390.0,1995119000.0
2023-11-10,42200.0,-0.65,-1.54,42850.0,42900.0,42100.0,62740.0,2647628000.0
2023-11-09,42850.0,-0.05,-0.12,42900.0,43150.0,42600.0,75670.0,3242459500.0
2023-11-08,42900.0,1.1,2.56,41800.0,43000.0,41550.0,96670.0,4147143000.0
2023-11-07,41800.0,0.0,0.0,41800.0,42000.0,41500.0,53130.0,2220834000.0
2023-11-06,41800.0,0.3,0.72,41500.0,42200.0,41600.0,58690.0,2453242000.0
2023-11-03,41500.0,-0.15,-0.36,41650.0,42250.0,41500.0,56340.0,2338110000.0
2023-11-02,41650.0,1.65,3.96,40000.0,41650.0,40600.0,69020.0,2874683000.0
2023-11-01,40000.0,-0.2,-0.5,40200.0,40900.0,39700.0,35090.0,1403600000.0
2023-10-31,40700.0,-0.3,-0.74,41000.0,41000.0,40500.0,2880.0,117216000.0
2023-10-30,41000.0,-1.0,-2.44,42000.0,41900.0,41000.0,54060.0,2216460000.0
2023-10-27,42000.0,1.45,3.45,40550.0,42000.0,40200.0,89450.0,3756900000.0
2023-10-26,40550.0,-0.2,-0.49,40750.0,40900.0,39000.0,197600.0,8012680000.0
2023-10-25,40750.0,-0.55,-1.35,41300.0,41600.0,40750.0,74180.0,3022835000.0
2023-10-24,41300.0,1.0,2.42,40300.0,41450.0,40150.0,91540.0,3780602000.0
2023-10-23,40300.0,-0.2,-0.5,40500.0,40500.0,40100.0,70680.0,2848404000.0
2023-10-20,40500.0,0.3,0.74,40200.0,40500.0,39550.0,97840.0,3962520000.0
2023-10-19,40200.0,0.2,0.5,40000.0,40600.0,39700.0,116960.0,4701792000.0
2023-10-18,40000.0,-1.3,-3.25,41300.0,41350.0,40000.0,145560.0,5822400000.0
2023-10-17,41300.0,-0.35,-0.85,41650.0,42200.0,41300.0,97850.0,4041205000.0
2023-10-16,41650.0,-0.85,-2.04,42500.0,42500.0,41250.0,97340.0,4054211000.0
2023-10-13,42500.0,0.35,0.82,42150.0,42500.0,42100.0,102700.0,4364750000.0
2023-10-12,42150.0,0.15,0.36,42000.0,42400.0,41900.0,101590.0,4282018500.0
2023-10-11,42000.0,-0.05,-0.12,42050.0,42500.0,41750.0,111750.0,4693500000.0
2023-10-10,42050.0,0.1,0.24,41950.0,42500.0,41900.0,87660.0,3686103000.0
2023-10-09,41950.0,-0.25,-0.6,42200.0,42300.0,41800.0,69980.0,2935661000.0
2023-10-06,42200.0,0.6,1.42,41600.0,42500.0,41200.0,55520.0,2342944000.0
2023-10-05,41600.0,-0.9,-2.16,42500.0,42850.0,41550.0,52610.0,2188576000.0
2023-10-04,42500.0,0.95,2.24,41550.0,42950.0,41000.0,89290.0,3794825000.0
2023-10-03,41550.0,-2.4,-5.78,43950.0,43750.0,41550.0,133630.0,5552326500.0
2023-10-02,43950.0,-0.4,-0.91,44350.0,44650.0,43800.0,68810.0,3024199500.0
2023-09-29,44350.0,0.0,0.0,44350.0,44750.0,44200.0,54260.0,2406431000.0
2023-09-28,44350.0,-0.05,-0.11,44400.0,44700.0,44250.0,69560.0,3084986000.0
2023-09-27,44400.0,0.05,0.11,44350.0,44700.0,44250.0,107980.0,4794312000.0
2023-09-26,44350.0,-0.75,-1.69,45100.0,45300.0,44200.0,112180.0,4975183000.0
2023-09-22,46050.0,0.85,1.85,45200.0,46050.0,44200.0,182250.0,8392612500.0
2023-09-21,45200.0,-0.5,-1.11,45700.0,46050.0,45100.0,91520.0,4136704000.0
2023-09-20,45700.0,0.5,1.09,45200.0,45700.0,45100.0,67330.0,3076981000.0
2023-09-19,45200.0,-0.55,-1.22,45750.0,46150.0,45000.0,118960.0,5376992000.0
2023-09-18,45750.0,-1.05,-2.3,46800.0,47000.0,45300.0,144660.0,6618195000.0
2023-09-15,47250.0,0.5,1.06,46750.0,47400.0,46950.0,25030.0,1182667500.0
2023-09-14,46750.0,-0.25,-0.53,47000.0,47900.0,46750.0,187390.0,8760482500.0
2023-09-13,47000.0,0.0,0.0,47000.0,47350.0,46500.0,120110.0,5645170000.0
2023-09-12,47000.0,0.5,1.06,46500.0,47000.0,46400.0,99170.0,4660990000.0
2023-09-11,46500.0,-0.5,-1.08,47000.0,47400.0,46000.0,96720.0,4497480000.0
2023-09-08,47000.0,-0.35,-0.74,47350.0,47550.0,46950.0,160070.0,7523290000.0
2023-09-07,47350.0,0.05,0.11,47300.0,48150.0,47200.0,117270.0,5552734500.0
2023-09-06,47300.0,-0.2,-0.42,47500.0,47700.0,47150.0,117870.0,5575251000.0
2023-09-05,47500.0,0.55,1.16,46950.0,47700.0,47000.0,136230.0,6470925000.0
2023-08-31,46950.0,0.75,1.6,46200.0,46950.0,46300.0,166890.0,7835485500.0
2023-08-30,46200.0,0.4,0.87,45800.0,46600.0,45800.0,112380.0,5191956000.0
2023-08-29,45800.0,0.4,0.87,45400.0,46100.0,45350.0,135960.0,6226968000.0
2023-08-28,45400.0,0.2,0.44,45200.0,45900.0,45300.0,74030.0,3360962000.0
2023-08-25,45200.0,-0.6,-1.33,45800.0,45800.0,45050.0,117470.0,5309644000.0
2023-08-24,45800.0,0.1,0.22,45700.0,46100.0,45350.0,136010.0,6229258000.0
2023-08-23,45700.0,-0.1,-0.22,45800.0,46200.0,45400.0,136310.0,6229367000.0
2023-08-22,45800.0,0.2,0.44,45600.0,45950.0,44500.0,128750.0,5896750000.0
2023-08-21,45600.0,1.4,3.07,44200.0,46850.0,44500.0,181000.0,8253600000.0
2023-08-18,44200.0,-2.9,-6.56,47100.0,47100.0,44100.0,284540.0,12576668000.0
2023-08-17,47100.0,-0.4,-0.85,47500.0,47700.0,47100.0,166600.0,7846860000.0
2023-08-16,47500.0,0.5,1.05,47000.0,47600.0,46900.0,135370.0,6430075000.0
2023-08-15,47000.0,-0.6,-1.28,47600.0,47600.0,46850.0,165800.0,7792600000.0
2023-08-14,47600.0,0.9,1.89,46700.0,47650.0,46650.0,211710.0,10077396000.0
2023-08-11,46700.0,0.2,0.43,46500.0,46900.0,45600.0,210240.0,9818208000.0
