ngày,đóng_cửa,thay_đổi,phần_trăm,Mở_cửa,Cao_nhất,Thấp_nhất,Tổng_KLGD,Tổng_GTGD
2021-12-31,37100.0,1.7,4.58,35400.0,37700.0,35500.0,485700.0,18019470000.0
2021-12-30,35400.0,0.2,0.56,35200.0,35700.0,35200.0,98700.0,3493980000.0
2021-12-29,35200.0,0.05,0.14,35200.0,35550.0,35100.0,158160.0,5567232000.0
2021-12-23,43300.0,-0.5,-1.15,43800.0,44250.0,42950.0,282780.0,12244374000.0
2021-12-22,43300.0,-0.5,-1.15,43800.0,44250.0,42950.0,282780.0,12244374000.0
2021-12-21,43800.0,-0.8,-1.83,44600.0,44650.0,43800.0,278770.0,12210126000.0
2021-12-20,44600.0,-0.3,-0.67,44900.0,44950.0,44500.0,122930.0,5482678000.0
2021-12-17,44900.0,0.05,0.11,44900.0,45500.0,44100.0,185170.0,8314133000.0
2021-12-16,44900.0,-0.1,-0.22,44900.0,45000.0,44000.0,167450.0,7518505000.0
2021-12-15,44900.0,-0.4,-0.89,45300.0,45500.0,44750.0,142670.0,6405883000.0
2021-12-14,45300.0,-0.2,-0.44,45500.0,45700.0,45200.0,171100.0,7750830000.0
2021-12-13,45500.0,0.9,1.98,44600.0,45800.0,45100.0,247750.0,11272625000.0
2021-12-10,44600.0,0.6,1.35,44000.0,45200.0,44300.0,206460.0,9208116000.0
2021-12-09,44000.0,-0.05,-0.11,44000.0,44150.0,43550.0,97970.0,4310680000.0
2021-12-08,44000.0,0.4,0.91,43600.0,44300.0,43450.0,114500.0,5038000000.0
2021-12-07,43600.0,1.65,3.78,41950.0,43750.0,42050.0,165350.0,7209260000.0
2021-12-06,41950.0,-0.05,-0.12,42000.0,43000.0,41650.0,285810.0,11989729500.0
2021-12-04,42000.0,-2.2,-5.24,44200.0,44500.0,42000.0,219910.0,9236220000.0
2021-12-03,42000.0,-2.2,-5.24,44200.0,44500.0,42000.0,219910.0,9236220000.0
2021-12-02,44200.0,-0.1,-0.23,44300.0,45400.0,44000.0,136730.0,6043466000.0
2021-12-01,44300.0,-0.1,-0.23,44400.0,44700.0,43700.0,175570.0,7777751000.0
2021-11-30,44400.0,-0.1,-0.23,44500.0,45650.0,43600.0,254210.0,11286924000.0
2021-11-29,44500.0,-0.95,-2.13,45450.0,45000.0,44100.0,326050.0,14509225000.0
2021-11-28,45450.0,0.1,0.22,45350.0,46200.0,44000.0,413210.0,18780394500.0
2021-11-26,45450.0,0.1,0.22,45350.0,46200.0,44000.0,413210.0,18780394500.0
2021-11-25,45350.0,-0.7,-1.54,46050.0,46400.0,45300.0,268680.0,12184638000.0
2021-11-24,46050.0,1.35,2.93,44700.0,46100.0,44600.0,412760.0,19007598000.0
2021-11-23,44700.0,-0.85,-1.9,45550.0,45500.0,44200.0,179500.0,8023650000.0
2021-11-22,45550.0,1.15,2.52,44400.0,46200.0,44000.0,494290.0,22514909500.0
2021-11-19,44400.0,-0.1,-0.23,44500.0,46050.0,42000.0,405510.0,18004644000.0
2021-11-18,44500.0,0.9,2.02,43600.0,44900.0,43400.0,351080.0,15623060000.0
2021-11-17,43600.0,0.8,1.83,42800.0,43800.0,42450.0,244480.0,10659328000.0
2021-11-16,42800.0,-0.3,-0.7,42800.0,43100.0,42450.0,126690.0,5422332000.0
2021-11-15,42800.0,-0.4,-0.93,43200.0,43500.0,42000.0,152330.0,6519724000.0
2021-11-14,46200.0,3.4,7.36,42800.0,43300.0,42350.0,24700.0,1141140000.0
2021-11-12,43200.0,0.4,0.93,42800.0,43300.0,42350.0,187800.0,8112960000.0
2021-11-11,42800.0,-0.2,-0.47,43000.0,43500.0,42200.0,244180.0,10450904000.0
2021-11-10,43000.0,-0.05,-0.12,43000.0,43500.0,42350.0,213850.0,9195550000.0
2021-11-09,43000.0,-0.9,-2.09,43900.0,44150.0,43000.0,254100.0,10926300000.0
2021-11-08,43900.0,0.3,0.68,43600.0,44400.0,43150.0,268680.0,11795052000.0
2021-11-07,43600.0,-0.4,-0.92,44000.0,44400.0,43250.0,194090.0,8462324000.0
2021-11-05,43600.0,-0.4,-0.92,44000.0,44400.0,43250.0,194090.0,8462324000.0
2021-11-04,43050.0,1.1,2.56,41950.0,44100.0,42000.0,560170.0,24115318500.0
2021-11-03,43050.0,1.1,2.56,41950.0,44100.0,42000.0,560170.0,24115318500.0
2021-11-02,41950.0,0.15,0.36,41800.0,42500.0,41600.0,152770.0,6408701500.0
2021-11-01,41800.0,0.3,0.72,41500.0,42100.0,41600.0,329320.0,13765576000.0
2021-10-31,41500.0,1.65,3.98,39850.0,41700.0,39900.0,373030.0,15480745000.0
2021-10-29,41500.0,1.65,3.98,39850.0,41700.0,39900.0,373030.0,15480745000.0
2021-10-28,39850.0,-0.05,-0.13,39900.0,40200.0,39700.0,123710.0,4929843500.0
2021-10-27,39900.0,0.7,1.75,39200.0,39950.0,39250.0,141290.0,5637471000.0
2021-10-26,39200.0,0.1,0.26,39200.0,39400.0,39150.0,54720.0,2145024000.0
2021-10-25,39200.0,-0.1,-0.26,39300.0,39600.0,39200.0,88970.0,3487624000.0
2021-10-23,39300.0,-0.2,-0.51,39500.0,39700.0,39300.0,105490.0,4145757000.0
2021-10-22,39300.0,-0.2,-0.51,39500.0,39700.0,39300.0,105490.0,4145757000.0
2021-10-21,39500.0,-0.25,-0.63,39750.0,39900.0,39500.0,63220.0,2497190000.0
2021-10-20,39750.0,-0.3,-0.75,40050.0,40200.0,39300.0,107960.0,4291410000.0
2021-10-19,40050.0,0.75,1.87,39300.0,40550.0,39000.0,221230.0,8860261500.0
2021-10-18,39300.0,-0.2,-0.51,39500.0,40050.0,39000.0,179550.0,7056315000.0
2021-10-16,39500.0,-0.05,-0.13,39550.0,39850.0,39500.0,110490.0,4364355000.0
2021-10-15,39500.0,-0.05,-0.13,39550.0,39850.0,39500.0,110490.0,4364355000.0
2021-10-14,39550.0,-0.35,-0.88,39900.0,39950.0,39550.0,106070.0,4195068500.0
