chỉ tiêu,2020,2021,2022,2023,Quý 1-2024,Quý 2-2024
22. Chi từ các quỹ của TCTD(*),"-198,000,000","-895,000,000","-981,000,000","-1,164,000,000",,
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-67,912,810,000,000","68,890,144,000,000","132,517,903,000,000","-71,014,987,000,000","4,466,366,000,000","54,065,131,000,000"
1. Mua sắm tài sản cố định(*),"-1,061,633,000,000","-1,015,514,000,000","-1,091,733,000,000","-2,005,077,000,000","-309,550,000,000","-643,325,000,000"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","8,545,000,000","8,383,000,000","9,868,000,000","11,710,000,000","937,000,000","3,293,000,000"
3. Thu nhập từ hoạt động dịch vụ nhận được,"5,266,381,000,000","6,614,281,000,000","5,648,065,000,000","6,569,871,000,000","1,693,013,000,000","3,632,059,000,000"
II. Lưu chuyển tiền thuần từ hoạt động đầu tư,"-919,255,000,000","-977,359,000,000","-917,883,000,000","-1,813,698,000,000","-305,979,000,000","-567,699,000,000"
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia(*)","-2,669,096,000,000","-1,353,760,000,000","-301,930,000,000","-119,694,000,000",,
"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)","4,045,385,000,000","2,902,314,000,000","3,479,485,000,000","8,389,150,000,000","1,631,276,000,000","3,956,151,000,000"
III.Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,669,096,000,000","-1,353,760,000,000","757,095,000,000","-119,694,000,000",,
IV.Lưu chuyển tiền thuần trong kỳ,"-71,501,161,000,000","66,559,025,000,000","132,357,115,000,000","-72,948,379,000,000","4,160,387,000,000","53,488,795,000,000"
V. Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"170,272,402,000,000","98,771,241,000,000","165,330,266,000,000","297,687,381,000,000","224,739,002,000,000","224,739,002,000,000"
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"98,771,241,000,000","165,330,266,000,000","297,687,381,000,000","224,739,002,000,000","228,899,389,000,000","278,227,797,000,000"
5. Thu nhập khác,"-2,050,717,000,000","-2,058,082,000,000","-1,491,709,000,000","-3,373,336,000,000","-391,629,000,000","-1,140,323,000,000"
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7,135,895,000,000","8,233,496,000,000","5,693,753,000,000","5,431,863,000,000","892,313,000,000","2,670,630,000,000"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)","-19,160,792,000,000","-17,575,802,000,000","-20,937,375,000,000","-23,440,129,000,000","-7,053,660,000,000","-12,720,936,000,000"
8. Tiền thuế thu nhập thực nộp trong kỳ(*),"-2,109,973,000,000","-2,614,061,000,000","-2,756,764,000,000","-4,551,443,000,000","-3,438,635,000,000","-4,911,343,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"28,758,261,000,000","43,592,314,000,000","49,466,042,000,000","50,080,394,000,000","3,659,336,000,000","13,021,203,000,000"
